Category,Attribute,Count,Percentage
grocery,product_title,3,15.79
grocery,attributes,2,10.53
grocery,brand,1,5.26
grocery,product_code,1,5.26
grocery,pack_size,1,5.26
grocery,carton_quantity,1,5.26
grocery,category,1,5.26
grocery,gluten_free,1,5.26
grocery,food_allergen_info,1,5.26
grocery,fiber_content,1,5.26
grocery,whole_grain_content,1,5.26
grocery,sodium_content,1,5.26
grocery,cookie_type,1,5.26
grocery,chocolate_type,1,5.26
grocery,recommended_by,1,5.26
grocery,smart_snacks_approved,1,5.26
home,product_title,8,15.69
home,attributes,4,7.84
home,categories,1,1.96
home,brand,4,7.84
home,type,3,5.88
home,design,1,1.96
home,material,1,1.96
home,coating,1,1.96
home,capacity,3,5.88
home,casters,1,1.96
home,certification,1,1.96
home,power_source,1,1.96
home,mounting_type,1,1.96
home,number_of_baskets,1,1.96
home,basket_material,1,1.96
home,temperature_control_range,1,1.96
home,features,1,1.96
home,certifications,1,1.96
home,BTU,1,1.96
home,model,2,3.92
home,product_category,1,1.96
home,dimensions,2,3.92
home,quantity,1,1.96
home,usage,1,1.96
home,application_surface,1,1.96
home,pack_size,1,1.96
home,thickness,1,1.96
home,grade,1,1.96
home,application,1,1.96
home,packaging,1,1.96
home,UPC,1,1.96
home,color,1,1.96
jewelry,product_title,2,12.50
jewelry,product_brand,1,6.25
jewelry,material,1,6.25
jewelry,width_mm,1,6.25
jewelry,color_options,1,6.25
jewelry,product_type,1,6.25
jewelry,vendor,1,6.25
jewelry,model_number,2,12.50
jewelry,product,1,6.25
jewelry,brand,1,6.25
jewelry,style,1,6.25
jewelry,category,1,6.25
jewelry,jeweler,1,6.25
jewelry,description,1,6.25
office,product_title,9,12.86
office,attributes,2,2.86
office,brand,7,10.00
office,model,2,2.86
office,size,2,2.86
office,sheets_per_pad,1,1.43
office,pads_per_pack,1,1.43
office,paper_weight,1,1.43
office,paper_type,2,2.86
office,recycled_content,1,1.43
office,color,5,7.14
office,packaging,1,1.43
office,UPC,1,1.43
office,inner_packaging,2,2.86
office,alternate_items,1,1.43
office,model_number,4,5.71
office,capacity,2,2.86
office,card_size,1,1.43
office,features,5,7.14
office,category,2,2.86
office,type,1,1.43
office,ink_color,1,1.43
office,tip_size,1,1.43
office,product_url,1,1.43
office,quantity,1,1.43
office,pack_size,1,1.43
office,product_code,1,1.43
office,weight,1,1.43
office,paper_size,1,1.43
office,acid_free,1,1.43
office,compatible_with,1,1.43
office,matching_envelopes,1,1.43
office,upc,1,1.43
office,pack_quantity,1,1.43
office,application_type,1,1.43
office,material,1,1.43
office,sheet_size,1,1.43
office,uses,1,1.43
