Extracted Attribute,Best Match,Similarity,Category
brand,brand,1.0,grocery
series,series,1.0,grocery
product_name,,0.75,grocery
capacity,,0.3846153846153846,grocery
model,,0.2857142857142857,grocery
type,,0.33333333333333337,grocery
alternate_name,,0.36,grocery
manufacturer,,0.48,grocery
packaging,,0.46153846153846156,grocery
style,,0.41666666666666663,grocery
size,,0.36363636363636365,grocery
product_title,,0.7692307692307692,grocery
product_code,,0.75,grocery
retailer,,0.6,grocery
weight,,0.5454545454545454,grocery
flavor,flavor,1.0,grocery
usage,,0.2857142857142857,grocery
portability,,0.36363636363636365,grocery
product_type,product_type,1.0,grocery
packaging_type,packing_type,0.8571428571428572,grocery
UPC,,0.30000000000000004,grocery
use_case,,0.375,grocery
use,,0.33333333333333337,grocery
model_number,,0.36,grocery
seller,,0.5,grocery
attributes,,0.4,grocery
pack_size,,0.5,grocery
food_type,,0.5833333333333333,grocery
allergen_free,,0.3076923076923077,grocery
certifications,,0.3571428571428571,grocery
dietary_features,,0.3125,grocery
nutritional_info,,0.25,grocery
packing_type,packing_type,1.0,grocery
manufacturing_info,,0.43999999999999995,grocery
package_quantity,pack_quantity,0.8125,grocery
dietary_certifications,,0.31818181818181823,grocery
nutritional_highlights,,0.2272727272727273,grocery
additional_info,,0.33333333333333337,grocery
quantity_per_carton,,0.3157894736842105,grocery
allergen_information,,0.4,grocery
additional_information,,0.2727272727272727,grocery
distributor,,0.2727272727272727,grocery
individual_pack_weights,,0.31999999999999995,grocery
flavors,flavor,0.8571428571428572,grocery
material,,0.375,grocery
design,,0.5,grocery
quantity,,0.6153846153846154,grocery
features,,0.375,grocery
alternate_item_numbers,,0.4,grocery
upc,,0.33333333333333337,grocery
awards,,0.4545454545454546,grocery
consumer_preference,,0.3157894736842105,grocery
inner_packaging,,0.31999999999999995,grocery
environmental_considerations,,0.25,grocery
blend,,0.6,grocery
roast_level,,0.33333333333333337,grocery
brewing_method,,0.3571428571428571,grocery
beverage_type,,0.46153846153846156,grocery
coffee_type,,0.5,grocery
