Category,Category_Description,Attribute,Human_Description,Normalization Operation,Normalization_instruction,Normalization_JSON_schema,Normalization_ENUM
Office Products,"The 'Office Products' category typically includes a wide range of items used in office settings, such as stationery, office furniture, printers, copiers, and organizational supplies.",Brand,The brand name distinguishes one seller's good or service from those of other sellers. ,Name Expansion,The name should correspond to the brand's most popular and expected spelling format.,,
Grocery And Gourmet Food,The 'Grocery and Gourmet Food' category encompasses a diverse array of edible products ranging from everyday food items and sweets to beverages such as water and tea.,Brand,The brand name distinguishes one seller's good or service from those of other sellers. ,Name Expansion,The name should correspond to the brand's most popular and expected spelling format.,,
Jewelry,"The 'Jewelry' category features a wide assortment of adornments, including necklaces, bracelets, and rings. It is particularly focused on wedding bands.",Brand,The brand name distinguishes one seller's good or service from those of other sellers. ,Name Expansion,The name should correspond to the brand's most popular and expected spelling format.,,
Home And Garden,"The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.",Color,Color of the product.,Generalization,"Assign 'n/a' unknown or categorize the color into one of the following options:
-Black
-White
-Brown
-Green
-Beige
-Gray and Metallic
-Blue
-Red
-Pink
-Yellow
-Purple
-Assorted/Others
-No Color/Transparent",,"{""enum"" : [""Black"", ""White"", ""Brown"", ""Green"", ""Beige"", ""Gray and Metallic"", ""Blue"", ""Red"", ""Pink"", ""Yellow"", ""Purple"", ""Assorted/Others"", ""No Color/Transparent"", ""n/a""]}"
Office Products,"The 'Office Products' category typically includes a wide range of items used in office settings, such as stationery, office furniture, printers, copiers, and organizational supplies.",Color(s),Color of the product.,Generalization,"Assign 'n/a' unknown or categorize the color into one of the following options:
-Black
-White
-Brown
-Green
-Beige
-Gray and Metallic
-Blue
-Red
-Pink
-Yellow
-Purple
-Assorted/Others
-No Color/Transparent",,"{""enum"" : [""Black"", ""White"", ""Brown"", ""Green"", ""Beige"", ""Gray and Metallic"", ""Blue"", ""Red"", ""Pink"", ""Yellow"", ""Purple"", ""Assorted/Others"", ""No Color/Transparent"", ""n/a""]}"
Home And Garden,"The ""Home and Garden"" category contains products related to the daily household and garden use, especially Kitchen ware.",Depth,Depth is used in combintation with width and hight. Depth is usually shorter than width.,Unit of Measurement Normalization,"Values must be converted to centimeters if they are mainted in other units such as inches (in), feet (ft) or meters (m).
If no unit is specified in the input, assume the initial measurement is in inches.
The output value is a numeric figure in centimetres, rounded to one decimal place.","{""description"":""Depth is used in combintation with width and hight. Depth is usually shorter than width."",""type"":""object"",""properties"":{""value"":{""description"":""The depth as numeric value."",""type"":""string""},""unit_of_measurement"":{""description"":""Unit of Measurement"",""type"":""string"", ""example"":[""in"",""ft"",""m""]}}}",
Office Products,"The ""Office Products"" category typically includes a wide range of items used in office settings, such as stationery, office furniture, printers, copiers, and organizational supplies.",Depth,Depth is used in combintation with width and hight. Depth is usually shorter than width.,Unit of Measurement Normalization,"Values must be converted to centimeters if they are mainted in other units such as inches (in), feet (ft) or meters (m).
If no unit is specified in the input, assume the initial measurement is in inches.
The output value is a numeric figure in centimetres, rounded to one decimal place.","{""description"":""Depth is used in combintation with width and hight. Depth is usually shorter than width."",""type"":""object"",""properties"":{""value"":{""description"":""The depth as numeric value."",""type"":""string""},""unit_of_measurement"":{""description"":""Unit of Measurement"",""type"":""string"", ""example"":[""in"",""ft"",""m""]}}}",
Grocery And Gourmet Food,The 'Grocery and Gourmet Food' category encompasses a diverse array of edible products ranging from everyday food items and sweets to beverages such as water and tea.,Flavor,The characteristic taste of a food product.,String Wrangling,Return a single lowercased flavor value or a list of lowercased flavors seperated by comma.,,
Jewelry,"The 'Jewelry' category features a wide assortment of adornments, including necklaces, bracelets, and rings. It is particularly focused on wedding bands.",Gender,Gender defines the intended audience for a particular piece of jewelry based on traditional or cultural norms. ,Generalization,,,"{""enum"" : [""Ladies"", ""Gents"", ""Unisex"", ""n/a""]}"
Home And Garden,"The 'Home and Garden' category contains products related to the daily household and garden use, especially Kitchen ware.",Heat,Heat describes the sources for heat. ,Generalization,The sources of heat can either be 'gas' or 'electric'.,,"{""enum"" : [""gas"", ""electric"", ""n/a""]}"
Home And Garden,"The ""Home and Garden"" category contains products related to the daily household and garden use, especially Kitchen ware.",Height,Height is used in combintation with width and depth. Height is the vertical dimension of the product.,Unit of Measurement Normalization,"Values must be converted to centimeters if they are mainted in other units such as inches (in), feet (ft) or meters (m).
If no unit is specified in the input, assume the initial measurement is in inches.
The output value is a numeric figure in centimetres, rounded to one decimal place.","{""description"":""Height is used in combintation with width and depth. Height is the vertical dimension of the product."",""type"":""object"",""properties"":{""value"":{""description"":""The height as numeric value."",""type"":""string""},""unit_of_measurement"":{""description"":""Unit of Measurement"",""type"":""string"", ""example"":[""in"",""ft"",""m""]}}}",
Office Products,"The ""Office Products"" category typically includes a wide range of items used in office settings, such as stationery, office furniture, printers, copiers, and organizational supplies.",Height,Height is used in combintation with width and depth. Height is the vertical dimension of the product.,Unit of Measurement Normalization,"Values must be converted to centimeters if they are mainted in other units such as inches (in), feet (ft) or meters (m).
If no unit is specified in the input, assume the initial measurement is in inches.
The output value is a numeric figure in centimetres, rounded to one decimal place.","{""description"":""Height is used in combintation with width and depth. Height is the vertical dimension of the product."",""type"":""object"",""properties"":{""value"":{""description"":""The height as numeric value."",""type"":""string""},""unit_of_measurement"":{""description"":""Unit of Measurement"",""type"":""string"", ""example"":[""in"",""ft"",""m""]}}}",
Office Products,"The ""Office Products"" category typically includes a wide range of items used in office settings, such as stationery, office furniture, printers, copiers, and organizational supplies.",Length,"The ""Length"" attribute determines the length of a tape, paper role or rubber band. This attribute is not part of the three dimensional item dimensions, which are width, height and depth. ",Unit of Measurement Normalization,"Values must be converted to centimeters if they are mainted in other units such as inches (in), feet (ft) or meters (m).
If no unit is specified in the input, assume the initial measurement is in inches.
The output value is a numeric figure in centimetres, rounded to one decimal place.","{""description"":""Length determines the length of a tape, paper role or rubber band. This attribute is not part of the three dimensional item dimensions, which are width, height and depth."",""type"":""object"",""properties"":{""value"":{""description"":""The length as numeric value."",""type"":""string""},""unit_of_measurement"":{""description"":""Unit of Measurement"",""type"":""string"", ""example"":[""in"",""ft"",""m""]}}}",
