Extracted Attribute,Best Match,Similarity,Category
product_title,,0.7692307692307692,grocery
attributes,,0.4,grocery
brand,brand,1.0,grocery
product_code,,0.75,grocery
pack_size,,0.5,grocery
carton_quantity,,0.6666666666666667,grocery
category,,0.375,grocery
gluten_free,,0.2727272727272727,grocery
food_allergen_info,,0.38888888888888884,grocery
fiber_content,,0.3846153846153846,grocery
whole_grain_content,,0.34782608695652173,grocery
sodium_content,,0.3571428571428571,grocery
cookie_type,,0.5833333333333333,grocery
chocolate_type,,0.5,grocery
recommended_by,,0.2142857142857143,grocery
smart_snacks_approved,,0.28,grocery
product_title,,0.7692307692307692,home
attributes,,0.30000000000000004,home
categories,,0.5,home
brand,,0.4,home
type,,0.4,home
design,,0.4285714285714286,home
material,material,1.0,home
coating,,0.7142857142857143,home
capacity,capacity,1.0,home
casters,,0.4285714285714286,home
certification,certification,1.0,home
power_source,,0.5,home
mounting_type,,0.46153846153846156,home
number_of_baskets,,0.2941176470588235,home
basket_material,,0.5333333333333333,home
temperature_control_range,,0.31999999999999995,home
features,,0.41666666666666663,home
certifications,certification,0.9285714285714286,home
BTU,,0.09999999999999998,home
model,,0.4285714285714286,home
product_category,,0.5625,home
dimensions,,0.30000000000000004,home
quantity,,0.375,home
usage,,0.4285714285714286,home
application_surface,,0.26315789473684215,home
pack_size,,0.33333333333333337,home
thickness,,0.33333333333333337,home
grade,,0.4,home
application,,0.5384615384615384,home
packaging,,0.4444444444444444,home
UPC,,0.30000000000000004,home
color,color,1.0,home
product_title,,0.7692307692307692,jewelry
product_brand,,0.6153846153846154,jewelry
material,,0.33333333333333337,jewelry
width_mm,,0.625,jewelry
color_options,,0.5384615384615384,jewelry
product_type,product_type,1.0,jewelry
vendor,,0.6666666666666667,jewelry
model_number,model_number,1.0,jewelry
product,,0.5833333333333333,jewelry
brand,brand,1.0,jewelry
style,,0.5,jewelry
category,,0.2666666666666667,jewelry
jeweler,,0.4285714285714286,jewelry
description,,0.36363636363636365,jewelry
product_title,,0.7692307692307692,office
attributes,,0.30000000000000004,office
brand,brand,1.0,office
model,,0.4285714285714286,office
size,,0.4,office
sheets_per_pad,,0.5294117647058824,office
pads_per_pack,,0.3846153846153846,office
paper_weight,paper_weight,1.0,office
paper_type,,0.5,office
recycled_content,,0.3125,office
color,colors,0.8333333333333334,office
packaging,,0.46153846153846156,office
UPC,,0.30000000000000004,office
inner_packaging,,0.2941176470588235,office
alternate_items,,0.4,office
model_number,,0.36,office
capacity,capacity,1.0,office
card_size,,0.3571428571428571,office
features,,0.375,office
category,,0.375,office
type,,0.4,office
ink_color,,0.5,office
tip_size,,0.3125,office
product_url,,0.6666666666666667,office
quantity,,0.6153846153846154,office
pack_size,,0.46153846153846156,office
product_code,,0.75,office
weight,height,0.8333333333333334,office
paper_size,,0.5833333333333333,office
acid_free,,0.4285714285714286,office
compatible_with,,0.6666666666666667,office
matching_envelopes,,0.33333333333333337,office
upc,,0.33333333333333337,office
pack_quantity,pack_quantity,1.0,office
application_type,,0.4375,office
material,material,1.0,office
sheet_size,,0.4117647058823529,office
uses,,0.2857142857142857,office
